0,turn,mfd_netbuyamt,mfd_netbuyvol,mfd_netbuyamt_a,mfd_netbuyvol_a,mfd_buyvol_open_m,mfd_buyvol_close_m,mkt_cap_ard,pe_ttm,ps_ttm,pb_lf,pcf_ocf_ttm,dividendyield2,mkt_freeshares,netprofit_ttm,operatecashflow_ttm,cashflow_ttm,tech_upnum,tech_downnum,west_netprofit_YOY,west_netprofit_CAGR,west_avgroe_YOY,west_sales_YOY,west_avgebit_YOY,west_avgebt_YOY,west_avgoperatingprofit_YOY,west_avgoc_YOY,yoy_or,yoynetprofit,yoyocf,yoyfcf,yoyroe,invturndays,arturndays,netturndays,current,quick,debttoassets,ocftosales,roe_avg,roa,netprofitmargin,expensetosales,operateexpensetogr,val_pb_wgt,val_pe_avg,tech_uppct,tech_downpct
2014-09-04,3.2579,,,,,,,856000000000.0,52.22000122,6.4794,5.420000076,37.6423,0.4569,358000000000.0,15997722270,22394233630,1288349088.0,24,28,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.3743,106.0001,40.0,46.6667
2014-09-05,2.6995,,,,,,,851000000000.0,52.02000046,6.4428,5.400000095,37.4296,0.4595,359000000000.0,15997722270,22394233630,1288349088.0,17,34,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.3439,105.1453,28.3333,56.6667
2014-09-09,2.529,,,,,,,856000000000.0,52.13000107,6.4813,5.400000095,37.6535,0.4568,362000000000.0,15997722270,22394233630,1288349088.0,33,18,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.3759,106.2496,55.0,30.0
2014-09-10,2.1795,,,,,,,860000000000.0,52.27999878,6.5058,5.420000076,37.7955,0.4551,363000000000.0,15997722270,22394233630,1288349088.0,25,26,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.3962,107.3477,41.6667,43.3333
2014-09-11,3.2682,,,,,,,862000000000.0,52.36999893,6.5251,5.429999828,37.9081,0.4537,364000000000.0,15997722270,22394233630,1288349088.0,27,21,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.4123,106.9698,45.0,35.0
2014-09-12,2.1243,,,,,,,863000000000.0,52.47000122,6.5351,5.449999809,37.9658,0.453,365000000000.0,15997722270,22394233630,1288349088.0,28,22,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.4205,106.7389,46.6667,36.6667
2014-09-15,2.53,,,,,,,866000000000.0,52.54000092,6.5546,5.460000038,38.0793,0.4517,366000000000.0,15997722270,22394233630,1288349088.0,31,19,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.4367,106.3284,51.6667,31.6667
2014-09-16,2.8237,,,,,,,831000000000.0,50.56000137,6.2918,5.25,36.5526,0.4705,351000000000.0,15997722270,22394233630,1288349088.0,0,50,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.2187,101.8924,0.0,83.3333
2014-09-17,2.1907,,,,,,,845000000000.0,50.88000107,6.3609,5.25,37.1382,0.4629,355000000000.0,15997722270,22394233630,1288349088.0,32,17,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.2181,101.0479,52.459,27.8689
2014-09-18,1.61,,,,,,,847000000000.0,50.93000031,6.3763,5.25,37.2279,0.4618,354000000000.0,15997722270,22394233630,1288349088.0,28,24,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.2307,102.1234,45.9016,39.3443
2014-09-19,1.6424,,,,,,,854000000000.0,51.27999878,6.4271,5.289999962,37.5245,0.4581,357000000000.0,15997722270,22394233630,1288349088.0,42,10,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.2724,102.8148,68.8525,16.3934
2014-09-22,1.7496,,,,,,,842000000000.0,50.68000031,6.3422,5.190000057,37.0289,0.4643,352000000000.0,15997722270,22394233630,1288349088.0,12,38,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.172,101.2178,19.6721,62.2951
2014-09-23,1.7848,,,,,,,852000000000.0,51.29999924,6.4161,5.260000229,37.4602,0.4589,357000000000.0,15997722270,22394233630,1288349088.0,46,5,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.2322,103.4501,75.4098,8.1967
2014-09-24,2.0368,,,,,,,859000000000.0,51.70000076,6.4684,5.300000191,37.7657,0.4552,360000000000.0,15997722270,22394233630,1288349088.0,39,11,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.2757,104.313,63.9344,18.0328
2014-09-25,2.5868,,,,,,,860000000000.0,51.77999878,6.4762,5.309999943,37.8111,0.4547,361000000000.0,15997722270,22394233630,1288349088.0,25,26,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.282,104.4071,40.9836,42.623
